INDEX,SOURCE,SOURCE_temp,SOURCE_codes,SOURCE_codes_temp,NOM DU LIEU,ADRESSE,TELEPHONE,URL,PUBLICS,TYPOLOGIE,DESCRIPTION,LOGO,IMAGE,MODÈLE JURIDIQUE,DEPARTEMENT,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,lat,lon,T,D,C,O,T_,D_,C_,O_,CONCAT_TYPO,DEPARTEMENT_NOM,COMMUNE
pingcarto11_,CGET,France Tiers-Lieux,CGET,FTL,Labo Arts & Techs / Stereolux,4 boulevard Léon Bureau 44000 Nantes,02 40 43 20 43,http://www.stereolux.org/labo-arts-techs/presentation,Citoyens – Professionnels,O-D,Le Laboratoire Arts et Technologies de Stereolux est un espace dédié à l’expérimentation se situant à la jonction des arts numériques  de la recherche et de l'industrie. Il cherche à promouvoir et accompagner les transitions technologiques  d’usages ou culturelles. Il contribue ainsi activement aux multiples réflexions autour des technologies numériques et de leur devenir.,https://www.stereolux.org/sites/all/themes/tssks/img/website-logo.png,https://www.stereolux.org/sites/default/files/styles/galerie_photos_slider_miniature/public/ged/labo%20location8466916595_e54cbab939_o.jpg?itok=MBZpvlXn,Association,44,47.206299,-1.564215,4 Boulevard Léon Bureau 44200 Nantes,0.87,housenumber,44109_4904_00004,4,Boulevard Léon Bureau,,44200,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.206299,-1.564215,,D,,O,,Découvrir collectivement,,Œuvrer ensemble,-Découvrir collectivement--Œuvrer ensemble,Loire-Atlantique,Nantes
pingcarto12_,CGET,France Tiers-Lieux,CGET,FTL,ADE Nantes,9 Rue du Petit Châtelier 44300 Nantes,09 51 33 36 13,https://www.ade-coworking.net,Professionnels,T,L'Atelier Des Entreprises regroupe des sociétés d'horizons très différents  du monde de la startup au suivi de chantier. ,https://static.wixstatic.com/media/45ae59_cf6964f4905247188e5db881aa58c47d.png/v1/fill/w_190 h_78 al_c q_80 usm_0.66_1.00_0.01/45ae59_cf6964f4905247188e5db881aa58c47d.webp,https://raw.githubusercontent.com/co-demos/PING-carto/master/photos/ADE-Nantes.jpg,Entreprise,44,47.246131,-1.505387,9 Rue du Petit Chatelier 44300 Nantes,0.97,housenumber,44109_6429_00009,9,Rue du Petit Chatelier,,44300,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.246131,-1.505387,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique,Nantes
pingcarto13_,PiNG – CGET – CAP Tiers-Lieux,PiNG – France Tiers-Lieux – CAP Tiers-Lieux,PiNG-CGET-CAPTL,PiNG-FTL-CAPTL,La Cantine numérique,11 Rue la noue bras de fer 44200 Nantes,02 40 75 96 22,https://www.lacantine.co/,Professionnels,T,Les espaces de coworking de La Cantine permettent d’avoir un pied à terre ponctuel au cœur de Nantes  de développer une idée en mode projet sur une période définie ou de poser ses valises sur une durée indéterminée.,https://www.lacantine.co/wp-content/themes/atlantic/img/logo.png,https://www.lacantine.co/wp-content/uploads/2018/07/IMG_6920.jpg,Association,44,47.207157,-1.558662,11 Rue la Noue Bras de Fer 44200 Nantes,0.98,housenumber,44109_3183_00011,11,Rue la Noue Bras de Fer,,44200,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.207157,-1.558662,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique,Nantes
pingcarto14_,CGET,France Tiers-Lieux,CGET,FTL,La Cordée Nantes,32bis rue Fouré 44000 Nantes  ,Non renseigné,http://www.la-cordee.net/cordee/nantes/foure,Professionnels,T,Plus qu’un espace de coworking  la Cordée est une communauté. Ses membres viennent partager des moments conviviaux  échanger sur leurs projets  travailler ensemble  continuer d’apprendre  ou tout simplement rire autour d’un café. La Cordée organise avec eux de nombreux événements pour que chacun puisse trouver le contact  l’aide ou le support dont il a besoin.,https://www.la-cordee.net/wp-content/uploads/CORDEE_LOGO.png,https://www.la-cordee.net/wp-content/uploads/P15-495x400.jpg,Entreprise,44,47.212009,-1.546843,32 bis Rue Fouré 44000 Nantes,0.89,housenumber,44109_3252_00032_bis,,Rue Fouré,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.212009,-1.546843,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique,Nantes
pingcarto15_,CGET,France Tiers-Lieux,CGET,FTL,L’Atelier 9,9 Rue des Olivettes 44000 Nantes,06 63 67 03 49,https://www.facebook.com/CoWorkAtelier9/,Professionnels,T,L’Atelier 9 est un lieu de coworking en plein cœur de Nantes. Espace partagé de 200 m2  au fond d’une jolie cour arborée  où les occupants s’affairent… en toute convivialité.,https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/32290021_442986052807055_4649797024181387264_n.jpg?_nc_cat=108&_nc_oc=AQn6bpndFOLFbpyFvhFmwADsTGDajjVAgYU8hCEfEMuhjCvl0rJMJIcizZi0U824z-SqtZDw3Brdm8mcOcJzcJ3Q&_nc_ht=scontent-cdg2-1.xx&oh=263dfb0e3eda9182464afd072f737fe0&oe=5E519F98,https://invest.nantes-saintnazaire.fr/files/nantes-saint-nazaire-professional-premises-5f52090d-d6a3-4f5a-970a-3fc08353cc9e-1718311532-preview.jpg,Association,44,47.212336,-1.550133,9 Rue des Olivettes 44000 Nantes,0.98,housenumber,44109_6012_00009,9,Rue des Olivettes,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.212336,-1.550133,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique,Nantes
pingcarto16_,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Conciergerie Coworking,20 Mail des Chantiers 44000 Nantes,02 85 52 83 24,https://www.laconciergeriedequartier.fr/coworking,Professionnels,T,Notre SCIC ‘La Conciergerie - Labo de quartier’  a pour ambition de favoriser le vivre ensemble en créant du lien entre habitants et usagers de l’île de Nantes. Après l'ouverture d'un premier lieu d'expérimentation 'La Conciergerie du Front Pop''  nous avons ouvert en octobre 2018 'La Conciergerie du Parc' où vous pouvez retrouver nos services et animations.,https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit fl_lossy h_1440 w_720 f_auto q_auto/1168946/ruf2vpjmzuaqxodzqlq6.png,https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit fl_lossy h_1440 w_720 f_auto q_auto/1168946/brillard-DSCF4736-BD_xeb4iw.jpg,SCIC,44,47.204824,-1.567963,20 Mail des Chantiers 44200 Nantes,0.87,housenumber,44109_1631_00020,20,Mail des Chantiers,,44200,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.204824,-1.567963,T,,,,Renouveler le travail,,,,Renouveler le travail---,Loire-Atlantique,Nantes
pingcarto17_,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Conciergerie du Parc,24 Mail des Chantiers 44000 Nantes,02 85 52 83 24,https://www.laconciergeriedequartier.fr/,Citoyens,T-D-C,Notre SCIC ‘La Conciergerie - Labo de quartier’  a pour ambition de favoriser le vivre ensemble en créant du lien entre habitants et usagers de l’île de Nantes. Après l'ouverture d'un premier lieu d'expérimentation 'La Conciergerie du Front Pop''  nous avons ouvert en octobre 2018 'La Conciergerie du Parc' où vous pouvez retrouver nos services et animations.,https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit fl_lossy h_1440 w_720 f_auto q_auto/1168946/ruf2vpjmzuaqxodzqlq6.png,https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit fl_lossy h_1440 w_720 f_auto q_auto/1168946/bshekjgnqotjdku56uuh.png,SCIC,44,47.204778,-1.5682,24 Mail des Chantiers 44200 Nantes,0.87,housenumber,44109_1631_00024,24,Mail des Chantiers,,44200,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.204778,-1.5682,T,D,C,,Renouveler le travail,Découvrir collectivement,Repenser sa consommation,,Renouveler le travail-Découvrir collectivement-Repenser sa consommation-,Loire-Atlantique,Nantes
pingcarto18_,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Conciergerie du Front Pop',1 Mail du Front Populaire 44000 Nantes,02 85 52 83 24,https://www.laconciergeriedequartier.fr/,Citoyens,T-D-C,Notre SCIC ‘La Conciergerie - Labo de quartier’  a pour ambition de favoriser le vivre ensemble en créant du lien entre habitants et usagers de l’île de Nantes. Après l'ouverture d'un premier lieu d'expérimentation 'La Conciergerie du Front Pop''  nous avons ouvert en octobre 2018 'La Conciergerie du Parc' où vous pouvez retrouver nos services et animations.,https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit fl_lossy h_1440 w_720 f_auto q_auto/1168946/ruf2vpjmzuaqxodzqlq6.png,https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit fl_lossy h_1440 w_720 f_auto q_auto/1168946/r2fhvs5tzkwyski4siev.png,SCIC,44,47.206491,-1.563783,1 Mail du Front Populaire 44200 Nantes,0.87,housenumber,44109_3391_00001,1,Mail du Front Populaire,,44200,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.206491,-1.563783,T,D,C,,Renouveler le travail,Découvrir collectivement,Repenser sa consommation,,Renouveler le travail-Découvrir collectivement-Repenser sa consommation-,Loire-Atlantique,Nantes
pingcarto19_,CAP Tiers-Lieux – CGET,CAP Tiers-Lieux – France Tiers-Lieux,CAPTL-CGET,CAPTL-FTL,Le Solilab,8 rue Saint Domingue 44200 NANTES,02 40 89 33 69,https://www.ecossolies.fr/-Le-Solilab-,Professionnels – Citoyens,T-D-C,Ancienne friche industrielle  trace de l’histoire sociale de Nantes  le Solilab contribue à donner un nouveau visage à la pointe ouest de l’île de Nantes depuis 2014. Espace d’expérimentations en permanente évolution  laboratoire d’innovations sociales et environnementales  tiers-lieu  point d’ancrage où se rencontrent et coopèrent celles et ceux qui travaillent  entreprennent et consomment autrement : le Solilab  c’est tout cela en même temps !,https://www.ecossolies.fr/IMG/siteon0.png?1513335286,https://www.ecossolies.fr/IMG/jpg/entree_solilab.jpg,SCIC,44,47.201392,-1.571388,8 Rue de Saint Domingue 44200 Nantes,0.89,housenumber,44109_7564_00008,8,Rue de Saint Domingue,,44200,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.201392,-1.571388,T,D,C,,Renouveler le travail,Découvrir collectivement,Repenser sa consommation,,Renouveler le travail-Découvrir collectivement-Repenser sa consommation-,Loire-Atlantique,Nantes
pingcarto20_,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,ORA,7 rue Magdeleine 44200 Nantes, 02 28 44 55 92 ,https://www.oraverslequilibre.fr/,Professionnels – Citoyens,T-D-C,Une oasis ressourçante au cœur de la jungle urbaine… Un lieu ouvert à tous pour apprendre  consulter un thérapeute  bouger  ralentir  se restaurer… où vivre au naturel rime avec prévention santé pour tous et accompagnement des publics fragiles.,https://www.oraverslequilibre.fr/wp-content/themes/storefront-for-ora/assets/images/logo-small.png,https://c.tfstatic.com/w_656 h_368 c_fill g_auto:subject q_auto f_auto/restaurant_photos/831/503831/source/ora-oasis-vers-l-equilibre-vue-de-la-salle-3e564.jpg,Association,44,47.204311,-1.568063,7 Rue Magdeleine 44200 Nantes,0.97,housenumber,44109_5202_00007,7,Rue Magdeleine,,44200,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.204311,-1.568063,T,D,C,,Renouveler le travail,Découvrir collectivement,Repenser sa consommation,,Renouveler le travail-Découvrir collectivement-Repenser sa consommation-,Loire-Atlantique,Nantes
pingcarto21_,PiNG – CAP Tiers-Lieux – CGET,PiNG – CAP Tiers-Lieux – France Tiers-Lieux,PiNG-CAPTL-CGET,PiNG-CAPTL-FTL,Plateforme C,Quai des Antilles hangar 30 44200 Nantes,02 51 84 13 57,https://info.pingbase.net/lieux/,Professionnels – Citoyens,T-O-D,Plateforme C est un atelier de fabrication numérique  fablab  co-construit par PiNG et plusieurs établissements d'enseignement supérieur. A la fois citoyen et pédagogique  cet atelier partagé est autant un espace d'appropriation des cultures numériques par le faire qu'un lieu d'innovation pédagogique.,https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/12401002_10156760951325608_3666522466593511078_n.png?_nc_cat=100&_nc_ohc=wrBpN6bVil8AQnrxA2Y-yrZtsNzk89lT2g2uFIo_bzeO2i-Up2T4iaW6A&_nc_ht=scontent-cdg2-1.xx&oh=eee1d84736e8eb353b2815e8bd43258f&oe=5E886C2B,https://info.pingbase.net/wp-content/uploads/2019/03/porte_light-870x550.jpg,Association,44,47.203028,-1.571717,Quai des Antilles 44200 Nantes,0.74,street,44109_0341,,Quai des Antilles,,44200,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.203028,-1.571717,T,D,,O,Renouveler le travail,Découvrir collectivement,,Œuvrer ensemble,Renouveler le travail-Découvrir collectivement--Œuvrer ensemble,Loire-Atlantique,Nantes
pingcarto22_,PiNG – CAP Tiers-Lieux – CGET,PiNG – CAP Tiers-Lieux – France Tiers-Lieux,PiNG-CAPTL-CGET,PiNG-CAPTL-FTL,Atelier Partagé du Breil,38 rue du Breil 44100 Nantes,02 40 16 86 78,https://info.pingbase.net/lieux/,Professionnels – Citoyens,T-O-D,Espace hybride entre fablab et jardin partagé  lieu de bricolage  de création  de réparation  l'Atelier Partagé permet aux habitants et habitantes du quartier d'accéder à un espace équipé pour réparer  apprendre à réparer  fabriquer des objets  regagner confiance en soi ou mieux comprendre les rouages de notre environnement technologique. L'Atelier Partagé permet aussi de redynamiser le tissu social local et de valoriser ses savoir-faire.,https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/12401002_10156760951325608_3666522466593511078_n.png?_nc_cat=100&_nc_ohc=wrBpN6bVil8AQnrxA2Y-yrZtsNzk89lT2g2uFIo_bzeO2i-Up2T4iaW6A&_nc_ht=scontent-cdg2-1.xx&oh=eee1d84736e8eb353b2815e8bd43258f&oe=5E886C2B,https://info.pingbase.net/wp-content/uploads/2018/06/IMG_1090.jpg,Association,44,47.229028,-1.584999,38 Rue du Breil 44100 Nantes,0.98,housenumber,44109_1213_00038,38,Rue du Breil,,44100,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.229028,-1.584999,T,D,,O,Renouveler le travail,Découvrir collectivement,,Œuvrer ensemble,Renouveler le travail-Découvrir collectivement--Œuvrer ensemble,Loire-Atlantique,Nantes
pingcarto23_,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,Le Grand Bain,23 Allée Baco 44000 Nantes,Non renseigné,https://lacooperative.coop/,Professionnels – Citoyens,T-O-D,Le Grand Bain c’est un collectif porté par l'Ouvre-Boîtes 44 qui rassemble des acteurs nantais de l'économie coopérative : principalement les CAE Coopchezvous  Bâticréateurs  Oz  l'Ouvre-Boites 44 et la Société coopérative Le Début des haricots. Objectif : créer une vitrine de l'économie coopérative nantaise et en faire un lieu de vie  un lieu de travail  un lieu de rencontre  un lieu de consommation où s'expriment la solidarité  le local  l'entraide  l'échange et le lien social.,,,Coopérative,44,47.214342,-1.548526,Allée Baco 44000 Nantes,0.87,street,44109_0512,,Allée Baco,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.214342,-1.548526,T,D,,O,Renouveler le travail,Découvrir collectivement,,Œuvrer ensemble,Renouveler le travail-Découvrir collectivement--Œuvrer ensemble,Loire-Atlantique,Nantes
pingcarto24_,CAP Tiers-Lieux,CAP Tiers-Lieux,CAPTL,CAPTL,La Galerie zéro déchet,5 Rue Fénelon 44000 Nantes,Non renseigné,http://lagalerieduzerodechet.fr/,Professionnels – Citoyens,D-C,Tiers-lieu sur la réduction des déchets en Pays de la Loire,,http://lagalerieduzerodechet.fr/wp-content/uploads/2019/10/IMG_9377-1024x683.jpg,Association,44,47.217125,-1.553941,5 Rue Fénelon 44000 Nantes,0.97,housenumber,44109_3096_00005,5,Rue Fénelon,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.217125,-1.553941,,D,C,,,Découvrir collectivement,Repenser sa consommation,,-Découvrir collectivement-Repenser sa consommation-,Loire-Atlantique,Nantes
pingcarto25_,PiNG – CAP Tiers-Lieux – CGET,PiNG – CAP Tiers-Lieux – France Tiers-Lieux,PiNG-CAPTL-CGET,PiNG-CAPTL-FTL,Association Médiagraph,1 rue d'Auvours  44000 Nantes, 0240121912 , www.assomediagraph.fr ,Professionnels – Citoyens,T-O-D,"Médiagraph propose des initiations  des ateliers et des formations aux outils et usages numériques tous les publics  en collectifs ou en individuel. Exemples : prise en main de son ordinateur  de sa tablette pour un usage personnel  utilisation d'un site internet ou des réseaux sociaux pour un bénévole ou salarié. Utilisation des outils bureautique et internet dans sa recherche d'emploi.
Possibilité de coworking en individuel ou en collectif.",,,Association,44,47.221374,-1.563522,1 Rue d’Auvours 44000 Nantes,0.97,housenumber,44109_0480_00001,1,Rue d’Auvours,,44000,Nantes,44  Loire-Atlantique  Pays de la Loire,44109,,,,47.221374,-1.563522,T,D,,O,Renouveler le travail,Découvrir collectivement,,Œuvrer ensemble,Renouveler le travail-Découvrir collectivement--Œuvrer ensemble,Loire-Atlantique,Nantes
